0: validation loss: 10.9366
0: Hellaswag accuracy normalized: 0.2410
51: Loss 8.544474 | Grad Norm 1.5235 | LR 4.3636e-05 | Time 401.19ms | Tokens/s 1306832.81
52: Loss 8.503223 | Grad Norm 1.5142 | LR 4.4476e-05 | Time 400.98ms | Tokens/s 1307525.93
53: Loss 8.454048 | Grad Norm 1.5097 | LR 4.5315e-05 | Time 401.50ms | Tokens/s 1305807.70
54: Loss 8.458108 | Grad Norm 1.5359 | LR 4.6154e-05 | Time 402.75ms | Tokens/s 1301783.38
55: Loss 8.427912 | Grad Norm 1.4999 | LR 4.6993e-05 | Time 401.39ms | Tokens/s 1306168.36
56: Loss 8.379597 | Grad Norm 1.4253 | LR 4.7832e-05 | Time 402.10ms | Tokens/s 1303862.01
57: Loss 8.362680 | Grad Norm 1.4114 | LR 4.8671e-05 | Time 401.25ms | Tokens/s 1306623.93
58: Loss 8.287557 | Grad Norm 1.4069 | LR 4.9510e-05 | Time 400.37ms | Tokens/s 1309498.17
59: Loss 8.257004 | Grad Norm 1.5038 | LR 5.0350e-05 | Time 401.00ms | Tokens/s 1307456.74
60: Loss 8.241360 | Grad Norm 1.7334 | LR 5.1189e-05 | Time 402.00ms | Tokens/s 1304189.11
61: Loss 8.239070 | Grad Norm 1.3611 | LR 5.2028e-05 | Time 402.70ms | Tokens/s 1301946.78
62: Loss 8.139713 | Grad Norm 1.3296 | LR 5.2867e-05 | Time 403.77ms | Tokens/s 1298495.71
63: Loss 8.101653 | Grad Norm 1.3907 | LR 5.3706e-05 | Time 402.44ms | Tokens/s 1302778.26
64: Loss 8.070357 | Grad Norm 1.3120 | LR 5.4545e-05 | Time 403.13ms | Tokens/s 1300530.00
65: Loss 8.054889 | Grad Norm 1.3222 | LR 5.5385e-05 | Time 401.95ms | Tokens/s 1304371.68
66: Loss 8.000607 | Grad Norm 1.2038 | LR 5.6224e-05 | Time 401.66ms | Tokens/s 1305317.83
67: Loss 7.999186 | Grad Norm 1.1849 | LR 5.7063e-05 | Time 402.45ms | Tokens/s 1302725.00
68: Loss 7.963453 | Grad Norm 1.2301 | LR 5.7902e-05 | Time 401.09ms | Tokens/s 1307163.74
69: Loss 7.874431 | Grad Norm 1.1907 | LR 5.8741e-05 | Time 403.01ms | Tokens/s 1300946.24
70: Loss 7.827449 | Grad Norm 1.1269 | LR 5.9580e-05 | Time 405.34ms | Tokens/s 1293461.68
71: Loss 7.843853 | Grad Norm 1.0901 | LR 6.0420e-05 | Time 402.69ms | Tokens/s 1301955.25
72: Loss 7.775955 | Grad Norm 1.1653 | LR 6.1259e-05 | Time 401.79ms | Tokens/s 1304864.71
73: Loss 7.742255 | Grad Norm 1.1004 | LR 6.2098e-05 | Time 403.09ms | Tokens/s 1300667.69
74: Loss 7.685689 | Grad Norm 1.0898 | LR 6.2937e-05 | Time 402.85ms | Tokens/s 1301446.70
75: Loss 7.700032 | Grad Norm 1.0934 | LR 6.3776e-05 | Time 401.54ms | Tokens/s 1305692.17
76: Loss 7.635131 | Grad Norm 1.1596 | LR 6.4615e-05 | Time 401.62ms | Tokens/s 1305425.54
77: Loss 7.647177 | Grad Norm 1.6151 | LR 6.5455e-05 | Time 401.26ms | Tokens/s 1306594.43
78: Loss 7.604438 | Grad Norm 1.2136 | LR 6.6294e-05 | Time 401.88ms | Tokens/s 1304601.51
79: Loss 7.549739 | Grad Norm 1.0414 | LR 6.7133e-05 | Time 402.04ms | Tokens/s 1304071.55
80: Loss 7.523769 | Grad Norm 0.9556 | LR 6.7972e-05 | Time 401.73ms | Tokens/s 1305089.29
81: Loss 7.527471 | Grad Norm 1.1378 | LR 6.8811e-05 | Time 401.11ms | Tokens/s 1307082.93
82: Loss 7.458218 | Grad Norm 0.8309 | LR 6.9650e-05 | Time 402.00ms | Tokens/s 1304182.92
83: Loss 7.407517 | Grad Norm 1.0767 | LR 7.0490e-05 | Time 402.45ms | Tokens/s 1302740.44
84: Loss 7.406243 | Grad Norm 0.8726 | LR 7.1329e-05 | Time 402.81ms | Tokens/s 1301588.44
85: Loss 7.358305 | Grad Norm 0.8686 | LR 7.2168e-05 | Time 400.70ms | Tokens/s 1308442.40
86: Loss 7.347793 | Grad Norm 0.8913 | LR 7.3007e-05 | Time 401.79ms | Tokens/s 1304879.42
87: Loss 7.349836 | Grad Norm 0.7130 | LR 7.3846e-05 | Time 403.28ms | Tokens/s 1300053.30
88: Loss 7.325995 | Grad Norm 0.9305 | LR 7.4685e-05 | Time 401.32ms | Tokens/s 1306421.33
89: Loss 7.359055 | Grad Norm 1.0745 | LR 7.5524e-05 | Time 401.05ms | Tokens/s 1307274.08
90: Loss 7.275780 | Grad Norm 1.0766 | LR 7.6364e-05 | Time 401.21ms | Tokens/s 1306761.37
91: Loss 7.261894 | Grad Norm 0.8713 | LR 7.7203e-05 | Time 401.67ms | Tokens/s 1305275.99
92: Loss 7.285235 | Grad Norm 0.7205 | LR 7.8042e-05 | Time 401.73ms | Tokens/s 1305083.10
93: Loss 7.349663 | Grad Norm 0.7949 | LR 7.8881e-05 | Time 402.06ms | Tokens/s 1304011.23
94: Loss 7.353165 | Grad Norm 0.7448 | LR 7.9720e-05 | Time 402.28ms | Tokens/s 1303287.85
95: Loss 7.339925 | Grad Norm 0.6915 | LR 8.0559e-05 | Time 401.93ms | Tokens/s 1304415.01
96: Loss 7.290977 | Grad Norm 0.7725 | LR 8.1399e-05 | Time 401.87ms | Tokens/s 1304607.70
97: Loss 7.248720 | Grad Norm 0.7589 | LR 8.2238e-05 | Time 400.77ms | Tokens/s 1308212.00
98: Loss 7.275807 | Grad Norm 0.5760 | LR 8.3077e-05 | Time 400.58ms | Tokens/s 1308817.76
99: Loss 7.220237 | Grad Norm 0.7534 | LR 8.3916e-05 | Time 400.90ms | Tokens/s 1307763.09
100: Loss 7.275345 | Grad Norm 0.5854 | LR 8.4755e-05 | Time 401.71ms | Tokens/s 1305144.29
101: Loss 7.193889 | Grad Norm 0.5453 | LR 8.5594e-05 | Time 402.08ms | Tokens/s 1303931.59
102: Loss 7.180544 | Grad Norm 0.6213 | LR 8.6434e-05 | Time 402.05ms | Tokens/s 1304044.49
103: Loss 7.068955 | Grad Norm 0.5860 | LR 8.7273e-05 | Time 400.60ms | Tokens/s 1308764.80
104: Loss 7.155793 | Grad Norm 0.6717 | LR 8.8112e-05 | Time 404.59ms | Tokens/s 1295837.49
105: Loss 7.164717 | Grad Norm 0.5843 | LR 8.8951e-05 | Time 403.92ms | Tokens/s 1297994.45
106: Loss 7.115641 | Grad Norm 0.5911 | LR 8.9790e-05 | Time 402.74ms | Tokens/s 1301797.25
107: Loss 7.055967 | Grad Norm 0.5859 | LR 9.0629e-05 | Time 405.82ms | Tokens/s 1291929.70
108: Loss 7.121757 | Grad Norm 0.7425 | LR 9.1469e-05 | Time 404.87ms | Tokens/s 1294949.25
109: Loss 7.139385 | Grad Norm 0.7622 | LR 9.2308e-05 | Time 400.90ms | Tokens/s 1307770.87
110: Loss 7.072617 | Grad Norm 0.6691 | LR 9.3147e-05 | Time 402.99ms | Tokens/s 1301008.58
111: Loss 7.047855 | Grad Norm 0.6203 | LR 9.3986e-05 | Time 402.60ms | Tokens/s 1302243.61
112: Loss 7.017794 | Grad Norm 0.9657 | LR 9.4825e-05 | Time 403.59ms | Tokens/s 1299063.35
113: Loss 7.077844 | Grad Norm 0.8751 | LR 9.5664e-05 | Time 402.72ms | Tokens/s 1301882.80
114: Loss 7.074733 | Grad Norm 0.7955 | LR 9.6503e-05 | Time 403.88ms | Tokens/s 1298140.03
115: Loss 7.034626 | Grad Norm 0.6490 | LR 9.7343e-05 | Time 403.35ms | Tokens/s 1299846.58
116: Loss 6.959154 | Grad Norm 0.5941 | LR 9.8182e-05 | Time 403.32ms | Tokens/s 1299938.79
117: Loss 6.880429 | Grad Norm 0.7781 | LR 9.9021e-05 | Time 402.29ms | Tokens/s 1303243.83
118: Loss 6.905712 | Grad Norm 0.7427 | LR 9.9860e-05 | Time 402.15ms | Tokens/s 1303720.55
